0.093,0.104,0.119,0.144,0.195,0.242,0.298,0.358,0.564,0.613,0.643,0.79,0.825,0.877,0.93,0.963,1.011,1.1,1.182,1.253,1.374,1.497,1.568,1.6,1.622,1.681,1.737,1.769,1.831,1.962,2.012,2.086,2.119,2.136,2.185,2.286,2.351,2.438,2.517,2.53,2.577,2.762,2.842,3.019,3.067,3.117,3.246,3.281,3.368,3.438,3.496,3.546,3.574,3.61,3.66,3.682,3.722,3.751,3.787,3.823,3.914,3.955,3.986,4.139,4.158,4.19,4.225,4.279,4.322,4.399,4.413,4.443,4.482,4.545,4.593,4.66,4.762,4.793,4.837,4.869,5.169,5.257,5.323,5.36,5.386,5.406,5.434,5.457,5.579,5.596,5.63,5.717,5.761,5.879,5.902,5.975,6.064,6.204,6.238,6.271,6.309,6.361,6.382,6.549,6.567,6.699,6.8,6.822,6.915,6.982,7.003,7.025,7.079,7.204,7.242,7.35,7.421,7.453,7.529,7.647,7.774,7.808,7.877,7.931,8.19,8.232,8.286,8.316,8.38,8.458,8.483,8.654,8.719,8.796,8.821,8.887,9.001,9.115,9.175,9.207,9.335,9.369,9.43,9.471,9.502,9.519,9.536,9.571,9.698,9.723,9.769,9.871,9.908,nan,nan,nan,nan,nan,nan,nan,nan
0.019,0.055,0.088,0.138,0.182,0.267,0.288,0.348,0.434,0.613,0.64,0.656,0.699,0.761,0.788,0.807,0.83,0.894,0.934,1.102,1.15,1.246,1.294,1.365,1.403,1.449,1.558,1.589,1.658,1.695,1.818,2.122,2.175,2.205,2.233,2.29,2.367,2.421,2.457,2.532,2.6,2.646,2.813,2.872,2.921,2.953,2.967,3.077,3.113,3.251,3.29,3.321,3.346,3.422,3.597,3.666,3.703,3.742,3.783,3.881,3.898,3.93,3.946,4.004,4.023,4.086,4.167,4.201,4.281,4.299,4.347,4.399,4.627,4.737,4.804,4.852,4.924,4.975,5.033,5.064,5.087,5.147,5.167,5.393,5.487,5.575,5.612,5.634,5.793,6.066,6.17,6.209,6.296,6.398,6.444,6.479,6.526,6.686,6.702,6.73,6.802,6.85,6.877,6.959,7.036,7.234,7.3,7.321,7.397,7.442,7.482,7.579,7.623,7.663,7.687,7.713,7.828,7.923,7.964,8.038,8.163,8.281,8.446,8.504,8.544,8.69,8.745,8.776,8.91,9.058,9.094,9.134,9.161,9.278,9.351,9.583,9.759,9.948,9.977,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.045,0.287,0.435,0.456,0.535,0.599,0.694,0.8,0.881,0.903,1.008,1.075,1.151,1.223,1.403,1.54,1.669,1.762,1.804,1.854,1.874,1.917,1.985,2.14,2.23,2.282,2.333,2.426,2.46,2.633,2.699,2.737,2.803,2.868,2.915,2.947,3.054,3.146,3.214,3.256,3.292,3.351,3.372,3.403,3.439,3.614,3.688,3.788,3.907,3.952,4.129,4.181,4.249,4.294,4.327,4.42,4.436,4.531,4.656,4.753,4.847,4.937,5.031,5.099,5.12,5.203,5.288,5.45,5.487,5.508,5.595,5.625,5.681,5.754,5.882,5.93,5.951,6.202,6.241,6.264,6.434,6.521,6.603,6.642,6.669,6.699,6.733,6.772,6.817,6.899,7.026,7.101,7.13,7.156,7.191,7.213,7.282,7.41,7.484,7.532,7.814,7.931,8.006,8.11,8.142,8.236,8.405,8.419,8.439,8.479,8.578,8.612,8.673,8.694,8.753,8.785,8.848,8.967,9.062,9.186,9.208,9.252,9.38,9.441,9.481,9.672,9.844,9.897,9.929,9.953,9.981,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.072,0.121,0.147,0.227,0.272,0.31,0.42,0.5,0.542,0.579,0.823,0.861,0.987,1.047,1.082,1.189,1.308,1.342,1.503,1.965,1.991,2.048,2.121,2.162,2.185,2.212,2.238,2.32,2.391,2.529,2.568,2.599,2.676,2.797,2.828,2.873,2.937,3.065,3.087,3.142,3.324,3.349,3.37,3.413,3.516,3.62,3.699,3.748,3.764,3.832,3.875,3.917,3.953,3.992,4.041,4.197,4.211,4.248,4.312,4.445,4.487,4.521,4.567,4.624,4.722,4.783,4.824,4.968,5.012,5.059,5.162,5.202,5.274,5.328,5.357,5.387,5.473,5.499,5.528,5.584,5.825,6.029,6.056,6.071,6.119,6.263,6.314,6.351,6.374,6.395,6.436,6.536,6.572,6.601,6.871,7.053,7.104,7.13,7.208,7.447,7.499,7.53,7.612,7.689,7.718,7.787,7.829,7.887,7.926,8.06,8.127,8.156,8.239,8.375,8.408,8.44,8.549,8.592,8.646,8.671,8.732,8.759,8.784,8.821,8.865,8.954,9.008,9.079,9.206,9.324,9.376,9.412,9.45,9.713,9.74,9.766,9.827,9.893,9.945,9.983,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.043,0.101,0.172,0.225,0.276,0.362,0.401,0.445,0.495,0.537,0.656,0.705,0.752,0.771,0.905,0.93,0.995,1.106,1.191,1.246,1.279,1.323,1.374,1.438,1.532,1.564,1.702,1.784,1.816,1.869,1.921,2.01,2.061,2.101,2.12,2.14,2.185,2.204,2.239,2.302,2.427,2.478,2.589,2.818,2.842,2.883,3.078,3.114,3.143,3.163,3.282,3.324,3.472,3.506,3.531,3.595,3.812,3.889,3.908,4.128,4.158,4.282,4.309,4.414,4.456,4.566,4.721,4.767,4.955,5.045,5.52,5.708,5.757,5.8,5.854,5.885,5.945,5.978,6.007,6.274,6.344,6.386,6.448,6.488,6.504,6.577,6.614,6.716,6.789,6.833,6.919,6.964,7.057,7.084,7.118,7.151,7.238,7.268,7.359,7.383,7.436,7.56,7.614,7.642,7.68,7.728,7.771,7.892,7.927,7.967,8.043,8.088,8.114,8.165,8.216,8.494,8.556,8.65,8.866,8.923,9.126,9.187,9.27,9.291,9.331,9.357,9.521,9.547,9.583,9.625,9.637,9.69,9.73,9.768,9.816,9.856,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.104,0.144,0.184,0.266,0.363,0.389,0.428,0.479,0.702,0.741,0.757,0.806,0.898,0.934,0.961,0.984,1.022,1.093,1.121,1.207,1.285,1.432,1.525,1.546,1.753,1.811,1.885,1.929,1.943,1.998,2.033,2.06,2.14,2.238,2.26,2.309,2.394,2.436,2.585,2.628,2.688,2.705,2.758,2.783,2.823,2.843,2.866,2.943,2.997,3.027,3.091,3.134,3.195,3.268,3.316,3.446,3.499,3.57,3.638,3.716,3.898,3.939,3.955,3.968,4.065,4.117,4.423,4.695,4.735,4.874,4.939,5.013,5.129,5.22,5.242,5.285,5.33,5.451,5.57,5.638,5.686,5.719,5.894,5.952,5.971,6.032,6.118,6.234,6.336,6.456,6.48,6.53,6.737,6.827,6.95,6.969,6.992,7.064,7.185,7.242,7.269,7.296,7.342,7.43,7.497,7.633,7.733,7.762,7.787,7.874,7.972,8.024,8.058,8.09,8.131,8.187,8.225,8.335,8.369,8.6,8.664,8.702,8.751,8.805,8.839,8.904,9.146,9.161,9.202,9.24,9.277,9.308,9.346,9.401,9.45,9.602,9.668,9.767,9.918,9.961,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.037,0.076,0.137,0.19,0.253,0.323,0.401,0.43,0.482,0.519,0.543,0.647,0.704,0.738,0.762,0.776,0.794,0.84,0.872,0.891,1.022,1.131,1.199,1.276,1.367,1.401,1.503,1.546,1.592,1.638,1.668,1.715,1.832,1.897,1.936,1.962,1.98,2.034,2.138,2.196,2.385,2.435,2.479,2.505,2.612,2.657,2.703,2.729,2.837,2.879,2.921,2.958,3.021,3.038,3.061,3.213,3.252,3.289,3.397,3.514,3.55,3.572,3.608,3.643,3.844,4.009,4.052,4.115,4.15,4.169,4.192,4.228,4.261,4.313,4.343,4.368,4.414,4.504,4.588,4.608,4.683,4.827,4.86,4.886,4.922,4.958,4.996,5.036,5.126,5.148,5.222,5.263,5.356,5.403,5.418,5.482,5.503,5.549,5.603,5.703,5.755,5.795,5.921,5.962,6.036,6.098,6.17,6.182,6.259,6.282,6.362,6.463,6.517,6.555,6.608,6.71,6.848,6.909,6.975,7.102,7.132,7.244,7.268,7.4,7.432,7.555,7.647,7.74,7.807,7.886,7.925,7.967,8.024,8.085,8.109,8.175,8.194,8.257,8.285,8.35,8.508,8.551,8.61,8.706,8.764,8.872,9.022,9.048,9.09,9.152,9.26,9.307,9.581,9.706,9.838,9.924,9.944,nan,nan,nan,nan
0.02,0.044,0.114,0.204,0.256,0.31,0.498,0.556,0.631,0.668,0.863,0.886,0.935,1.067,1.283,1.343,1.429,1.503,1.57,1.63,1.667,1.705,1.72,1.769,1.847,2.04,2.11,2.167,2.23,2.286,2.301,2.336,2.371,2.568,2.586,2.627,2.724,2.827,2.962,3.082,3.112,3.145,3.369,3.426,3.526,3.567,3.646,3.763,3.816,3.875,3.89,3.99,4.216,4.265,4.333,4.456,4.493,4.51,4.585,4.603,4.713,4.738,4.905,4.931,4.97,5.143,5.214,5.232,5.258,5.455,5.498,5.534,5.572,5.63,5.677,5.727,5.858,5.952,6.019,6.126,6.149,6.275,6.391,6.485,6.51,6.526,6.626,6.691,6.716,6.764,6.817,6.959,7.15,7.227,7.279,7.354,7.48,7.551,7.597,7.684,7.718,7.75,7.907,7.931,7.955,7.99,8.135,8.157,8.211,8.279,8.294,8.321,8.384,8.468,8.55,8.601,8.702,8.766,8.883,8.936,8.995,9.152,9.294,9.365,9.51,9.53,9.569,9.732,9.789,9.815,9.939,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.052,0.084,0.163,0.235,0.297,0.49,0.511,0.543,0.651,0.671,0.733,0.782,0.824,1.193,1.242,1.288,1.312,1.389,1.484,1.51,1.56,1.754,1.822,1.905,1.945,1.99,2.074,2.231,2.377,2.53,2.566,2.583,2.62,2.664,2.807,2.86,2.982,3.209,3.27,3.349,3.404,3.43,3.502,3.581,3.675,3.705,3.832,3.938,3.97,4.016,4.062,4.106,4.231,4.28,4.337,4.375,4.529,4.556,4.607,4.654,4.714,4.752,4.781,4.812,4.879,4.914,4.992,5.027,5.076,5.139,5.189,5.215,5.251,5.381,5.44,5.464,5.495,5.764,5.787,5.881,5.927,5.995,6.077,6.159,6.235,6.344,6.393,6.531,6.575,6.627,6.658,6.879,7.108,7.145,7.22,7.351,7.373,7.534,7.586,7.641,7.664,7.693,7.861,7.903,7.943,8.041,8.083,8.115,8.18,8.321,8.358,8.375,8.422,8.455,8.524,8.557,8.573,8.617,8.658,8.741,8.794,8.932,8.974,8.996,9.021,9.086,9.114,9.233,9.382,9.399,9.583,9.742,9.77,9.792,9.839,9.927,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.046,0.08,0.21,0.267,0.332,0.43,0.522,0.563,0.599,0.631,0.765,0.998,1.067,1.108,1.135,1.191,1.236,1.266,1.467,1.526,1.569,1.587,1.622,1.689,1.727,1.808,1.898,1.975,2.038,2.165,2.235,2.294,2.312,2.366,2.428,2.46,2.485,2.546,2.761,2.897,2.994,3.104,3.141,3.228,3.319,3.396,3.42,3.481,3.521,3.546,3.59,3.634,3.659,3.693,3.765,3.8,4.014,4.038,4.105,4.165,4.242,4.299,4.394,4.441,4.477,4.507,4.534,4.586,4.638,4.675,4.791,4.871,4.959,5.133,5.192,5.234,5.261,5.322,5.461,5.498,5.532,5.613,5.646,5.701,5.757,5.816,5.893,5.93,5.955,5.996,6.031,6.125,6.158,6.315,6.403,6.614,6.742,6.758,6.795,6.842,6.946,6.979,7.047,7.135,7.193,7.252,7.386,7.447,7.518,7.651,7.675,7.846,7.937,7.957,8.037,8.062,8.132,8.215,8.246,8.274,8.335,8.405,8.634,8.689,8.758,8.844,8.865,9.008,9.027,9.093,9.139,9.268,9.31,9.585,9.69,9.736,9.749,9.777,9.824,9.892,9.918,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.068,0.102,0.13,0.151,0.298,0.339,0.389,0.428,0.463,0.479,0.661,0.723,0.821,0.849,0.981,1.019,1.056,1.275,1.299,1.476,1.606,1.655,1.687,1.73,1.764,1.792,1.927,1.987,2.216,2.283,2.306,2.364,2.438,2.486,2.569,2.731,2.774,2.865,2.897,2.983,3.089,3.149,3.196,3.274,3.305,3.367,3.401,3.533,3.562,3.594,3.633,3.677,3.735,3.788,3.82,3.833,3.885,3.914,3.98,4.104,4.381,4.484,4.531,4.641,4.742,4.761,4.804,4.87,4.912,4.962,5.025,5.083,5.115,5.188,5.339,5.44,5.468,5.558,5.579,5.608,5.697,5.833,5.924,5.985,6.065,6.103,6.153,6.21,6.436,6.463,6.546,6.599,6.64,6.684,6.708,6.724,6.764,6.817,6.905,6.945,6.978,7.074,7.22,7.349,7.528,7.56,7.613,7.701,7.805,7.825,7.929,7.953,8.062,8.241,8.275,8.33,8.466,8.591,8.668,8.723,8.794,8.814,8.884,8.989,9.142,9.244,9.303,9.342,9.378,9.414,9.465,9.562,9.581,9.614,9.675,9.735,9.762,9.977,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.041,0.081,0.125,0.163,0.198,0.316,0.355,0.476,0.516,0.594,0.652,0.676,0.748,0.77,0.816,0.889,0.999,1.042,1.138,1.172,1.191,1.247,1.353,1.411,1.532,1.614,1.627,1.667,1.775,1.799,1.999,2.05,2.075,2.112,2.208,2.235,2.325,2.346,2.414,2.452,2.506,2.584,2.626,2.706,2.785,2.811,2.959,3.065,3.14,3.212,3.379,3.443,3.507,3.539,3.612,3.664,3.705,3.759,3.801,3.834,3.876,3.936,4.009,4.05,4.077,4.172,4.311,4.521,4.552,4.612,4.681,4.714,4.777,4.959,4.999,5.042,5.548,5.584,5.598,5.713,5.791,5.838,5.907,5.943,6.046,6.119,6.297,6.327,6.352,6.46,6.605,6.651,6.68,6.71,6.842,6.91,7.047,7.123,7.188,7.222,7.237,7.272,7.286,7.333,7.367,7.386,7.555,7.655,7.676,7.74,7.812,7.847,7.886,8.069,8.114,8.212,8.234,8.287,8.365,8.408,8.449,8.47,8.513,8.592,8.608,8.734,8.779,8.921,8.984,9.046,9.107,9.198,9.293,9.368,9.503,9.624,9.651,9.677,9.837,9.849,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.059,0.098,0.135,0.304,0.32,0.408,0.473,0.519,0.565,0.62,0.677,0.755,0.803,0.861,0.944,1.068,1.09,1.123,1.169,1.225,1.54,1.56,1.587,1.643,1.782,1.83,1.927,1.987,2.087,2.127,2.17,2.221,2.341,2.381,2.453,2.473,2.535,2.598,2.627,2.646,2.67,2.728,2.748,2.786,2.826,2.893,2.917,3.031,3.096,3.157,3.22,3.248,3.284,3.444,3.486,3.513,3.533,3.561,3.606,3.978,4.034,4.268,4.391,4.461,4.564,4.647,4.794,4.843,4.888,5.002,5.071,5.219,5.259,5.275,5.36,5.422,5.501,5.536,5.56,5.613,5.639,5.71,5.758,5.802,5.878,5.983,6.043,6.081,6.109,6.142,6.205,6.243,6.297,6.314,6.351,6.527,6.648,6.672,6.933,7.123,7.184,7.233,7.284,7.329,7.395,7.557,7.65,7.725,7.783,7.812,7.876,7.902,8.023,8.164,8.203,8.269,8.327,8.401,8.47,8.542,8.581,8.62,8.73,8.777,8.869,8.937,8.968,8.99,9.009,9.076,9.362,9.419,9.622,9.653,9.696,9.713,9.763,9.976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.03,0.043,0.114,0.21,0.249,0.294,0.364,0.459,0.558,0.599,0.622,0.651,0.794,0.839,0.869,1.075,1.098,1.125,1.207,1.38,1.513,1.686,1.761,1.845,1.872,1.925,2.031,2.063,2.171,2.195,2.241,2.269,2.341,2.429,2.555,2.589,2.67,2.693,2.778,2.869,2.909,3.0,3.172,3.308,3.452,3.473,3.527,3.676,3.711,3.736,3.842,3.878,3.956,4.044,4.065,4.089,4.196,4.244,4.28,4.462,4.515,4.555,4.612,4.821,4.919,4.959,4.998,5.02,5.069,5.15,5.175,5.292,5.333,5.375,5.452,5.552,5.589,5.677,5.71,5.794,5.842,5.915,6.183,6.221,6.277,6.45,6.558,6.578,6.618,6.636,6.664,6.804,6.849,6.864,6.964,7.126,7.186,7.228,7.264,7.313,7.337,7.356,7.677,7.726,7.804,7.864,8.117,8.209,8.311,8.488,8.572,8.613,8.651,8.673,8.703,8.786,8.906,8.977,9.043,9.142,9.311,9.387,9.43,9.507,9.543,9.626,9.668,9.685,9.713,9.878,9.916,9.942,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.053,0.274,0.296,0.333,0.376,0.538,0.608,0.693,0.814,0.908,0.995,1.045,1.087,1.217,1.271,1.314,1.471,1.563,1.586,1.639,1.713,1.798,1.855,1.919,1.945,1.962,2.053,2.131,2.37,2.509,2.541,2.619,2.653,2.815,2.981,3.082,3.158,3.34,3.38,3.436,3.462,3.521,3.567,3.631,3.658,3.699,3.741,3.793,3.817,3.851,3.946,3.965,4.153,4.183,4.208,4.261,4.319,4.473,4.505,4.569,4.744,4.789,4.807,4.924,5.001,5.085,5.349,5.413,5.458,5.487,5.54,5.643,5.713,5.741,5.802,5.864,5.919,5.964,6.092,6.157,6.223,6.264,6.298,6.351,6.393,6.476,6.537,6.599,6.655,6.76,6.795,6.954,7.035,7.094,7.185,7.255,7.455,7.515,7.65,7.69,7.734,7.781,7.815,7.91,8.003,8.189,8.242,8.316,8.385,8.484,8.64,8.826,8.893,8.97,9.041,9.082,9.157,9.188,9.321,9.371,9.514,9.532,9.574,9.605,9.669,9.728,9.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.028,0.105,0.126,0.215,0.296,0.346,0.46,0.612,0.712,0.808,0.837,0.866,0.924,0.98,1.098,1.12,1.188,1.203,1.296,1.349,1.38,1.398,1.459,1.49,1.532,1.575,1.591,1.623,1.768,1.838,1.863,1.987,2.027,2.054,2.133,2.177,2.254,2.318,2.393,2.417,2.573,2.624,2.693,2.744,2.77,2.812,2.883,2.975,3.041,3.196,3.227,3.275,3.548,3.612,3.628,3.641,3.723,3.765,3.822,3.964,4.025,4.087,4.121,4.262,4.34,4.364,4.508,4.527,4.663,4.762,4.833,4.852,4.975,5.028,5.21,5.281,5.303,5.356,5.406,5.473,5.534,5.552,5.62,5.664,5.741,5.77,5.859,5.984,6.046,6.131,6.178,6.224,6.457,6.475,6.527,6.615,6.647,6.724,6.785,6.812,6.858,6.888,6.928,7.118,7.172,7.253,7.503,7.585,7.603,7.636,7.716,7.823,7.859,7.884,7.904,7.952,8.091,8.15,8.198,8.339,8.452,8.606,8.632,8.668,8.732,8.787,8.814,8.838,8.938,8.987,9.011,9.033,9.301,9.404,9.448,9.52,9.579,9.674,9.772,9.798,9.859,9.89,9.941,9.971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
