0.106,0.363,0.542,0.642,0.757,0.796,0.875,0.927,1.034,1.129,1.225,1.408,1.464,1.535,1.58,1.602,1.624,1.666,1.72,1.823,1.889,2.005,2.04,2.21,2.336,2.452,2.653,2.805,2.863,3.092,3.218,3.236,3.262,3.335,3.407,3.467,3.556,3.647,3.664,3.725,3.771,3.913,3.959,3.985,4.042,4.148,4.179,4.202,4.266,4.322,4.373,4.408,4.444,4.552,4.582,4.663,4.757,4.968,5.08,5.304,5.395,5.447,5.472,5.526,5.582,5.687,5.709,5.729,5.741,5.844,5.986,6.017,6.078,6.166,6.266,6.298,6.347,6.421,6.473,6.556,6.625,6.703,6.914,6.924,7.03,7.057,7.076,7.109,7.152,7.298,7.319,7.339,7.38,7.406,7.422,7.494,7.546,7.594,7.634,7.683,7.854,7.933,7.981,8.017,8.135,8.281,8.314,8.591,8.657,8.743,8.775,8.851,8.911,8.997,9.111,9.202,9.235,9.29,9.337,9.412,9.465,9.49,9.531,9.569,9.783,9.853,9.875,9.901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.196,0.243,0.254,0.283,0.351,0.497,0.529,0.601,0.661,0.696,0.739,0.769,0.815,1.076,1.123,1.172,1.286,1.316,1.388,1.432,1.47,1.494,1.658,1.692,1.84,1.9,1.971,2.06,2.095,2.135,2.16,2.295,2.321,2.343,2.437,2.518,2.554,2.571,2.604,2.634,2.755,2.798,2.895,2.923,3.04,3.119,3.167,3.19,3.285,3.32,3.474,3.505,3.605,3.702,3.772,3.84,3.892,3.952,4.047,4.22,4.299,4.53,4.589,4.679,4.726,4.792,4.905,4.93,4.949,4.959,4.982,5.088,5.132,5.177,5.213,5.261,5.421,5.458,5.531,5.667,5.931,5.981,6.012,6.119,6.15,6.174,6.235,6.348,6.489,6.593,6.652,6.733,6.767,6.786,6.856,6.913,6.959,7.006,7.073,7.101,7.221,7.512,7.618,7.678,7.79,7.927,8.048,8.101,8.221,8.349,8.404,8.462,8.603,8.704,8.788,9.006,9.076,9.262,9.291,9.386,9.428,9.559,9.656,9.916,9.948,9.984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.038,0.079,0.167,0.25,0.311,0.326,0.384,0.425,0.61,0.625,0.749,0.775,0.91,0.932,1.019,1.189,1.213,1.346,1.401,1.603,1.73,1.828,1.85,1.971,2.022,2.082,2.11,2.204,2.247,2.46,2.495,2.561,2.581,2.803,2.864,2.912,2.941,2.998,3.019,3.037,3.104,3.165,3.344,3.37,3.505,3.542,3.562,3.59,3.625,3.768,3.814,3.843,3.861,3.896,3.993,4.065,4.124,4.18,4.249,4.276,4.354,4.44,4.468,4.499,4.565,4.611,4.659,4.7,4.733,4.755,4.784,4.809,4.856,4.987,5.02,5.067,5.362,5.384,5.45,5.481,5.527,5.586,5.655,5.722,5.838,5.888,5.996,6.14,6.156,6.19,6.393,6.443,6.603,6.668,6.701,6.779,6.881,6.96,7.048,7.164,7.242,7.281,7.33,7.489,7.592,7.826,7.872,7.96,8.022,8.052,8.105,8.184,8.31,8.359,8.467,8.57,8.652,8.719,8.819,8.87,8.898,9.039,9.107,9.143,9.167,9.213,9.473,9.506,9.622,9.715,9.793,9.957,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.102,0.174,0.247,0.308,0.335,0.357,0.384,0.513,0.558,0.609,0.762,0.806,0.831,0.942,1.049,1.174,1.206,1.264,1.297,1.362,1.517,1.563,1.579,1.628,1.708,1.73,1.751,1.817,1.837,1.937,1.964,2.108,2.168,2.205,2.376,2.526,2.603,2.63,2.793,2.835,2.908,2.971,3.019,3.041,3.057,3.196,3.317,3.361,3.4,3.552,3.667,3.692,3.744,3.789,4.032,4.064,4.093,4.139,4.222,4.298,4.349,4.405,4.424,4.514,4.575,4.607,4.705,4.722,4.771,4.862,4.887,4.916,4.941,5.04,5.104,5.179,5.274,5.365,5.432,5.448,5.465,5.624,5.645,5.671,5.746,5.802,5.875,5.901,5.932,6.034,6.136,6.192,6.235,6.257,6.293,6.326,6.471,6.486,6.513,6.566,6.703,6.875,6.933,6.95,6.991,7.061,7.259,7.29,7.318,7.345,7.437,7.484,7.563,7.647,7.754,7.784,7.844,7.898,7.96,7.986,8.046,8.23,8.274,8.307,8.384,8.525,8.566,8.593,8.712,8.854,8.991,9.029,9.079,9.204,9.231,9.359,9.426,9.531,9.579,9.65,9.72,9.897,9.921,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.032,0.119,0.175,0.33,0.368,0.608,0.648,0.678,0.708,0.735,0.798,0.84,0.889,1.097,1.162,1.193,1.23,1.423,1.549,1.621,1.719,1.888,1.916,1.982,2.012,2.046,2.091,2.121,2.158,2.335,2.371,2.433,2.454,2.516,2.543,2.57,2.621,2.92,2.968,2.996,3.064,3.122,3.186,3.213,3.368,3.501,3.608,3.644,3.864,3.947,3.976,3.997,4.034,4.06,4.227,4.291,4.333,4.454,4.51,4.705,4.733,4.764,4.802,4.823,4.917,4.976,5.088,5.107,5.17,5.225,5.263,5.307,5.338,5.377,5.422,5.438,5.456,5.48,5.53,5.647,5.685,5.774,5.798,5.877,5.906,5.945,6.122,6.227,6.315,6.352,6.408,6.451,6.621,6.754,6.82,6.85,6.892,7.01,7.161,7.194,7.221,7.419,7.551,7.617,7.65,7.718,7.753,7.85,7.879,7.914,7.974,8.02,8.063,8.083,8.193,8.279,8.336,8.403,8.512,8.528,8.613,8.675,8.723,8.801,8.851,8.946,9.039,9.12,9.296,9.353,9.636,9.658,9.757,9.786,9.938,9.998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.02,0.103,0.183,0.226,0.268,0.368,0.397,0.45,0.728,0.77,0.785,0.927,1.12,1.252,1.3,1.371,1.387,1.42,1.471,1.513,1.531,1.633,1.66,1.724,1.771,1.882,1.928,2.001,2.104,2.151,2.483,2.511,2.569,2.699,2.733,2.794,3.068,3.121,3.149,3.238,3.261,3.285,3.399,3.585,3.61,3.678,3.746,3.807,3.929,3.951,3.971,4.004,4.063,4.153,4.244,4.263,4.314,4.461,4.492,4.579,4.615,4.644,4.666,4.695,4.751,4.774,4.882,5.012,5.14,5.172,5.217,5.411,5.455,5.532,5.583,5.639,5.768,5.849,6.031,6.247,6.318,6.354,6.61,6.643,6.66,6.718,6.761,6.79,6.902,7.018,7.114,7.171,7.198,7.238,7.484,7.555,7.592,7.744,7.836,7.872,7.986,8.05,8.122,8.233,8.287,8.381,8.409,8.463,8.492,8.546,8.585,8.88,9.006,9.194,9.232,9.266,9.503,9.604,9.65,9.705,9.749,9.83,9.86,9.889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.03,0.074,0.178,0.288,0.476,0.5,0.571,0.696,0.808,0.879,0.924,1.081,1.15,1.2,1.31,1.335,1.363,1.393,1.48,1.522,1.548,1.6,1.657,1.684,1.777,1.813,1.963,2.068,2.264,2.298,2.328,2.38,2.414,2.499,2.553,2.583,2.86,2.948,3.012,3.041,3.093,3.152,3.2,3.317,3.365,3.397,3.415,3.452,3.547,3.626,3.691,3.72,3.889,4.007,4.029,4.104,4.221,4.257,4.29,4.379,4.462,4.501,4.525,4.589,4.625,4.67,4.706,4.751,4.801,4.833,4.989,5.002,5.039,5.437,5.529,5.574,5.684,5.745,5.844,6.165,6.22,6.238,6.419,6.461,6.518,6.565,6.66,6.704,6.88,7.01,7.028,7.065,7.119,7.216,7.253,7.288,7.338,7.414,7.541,7.624,7.688,7.768,7.793,7.815,7.872,7.915,8.081,8.102,8.143,8.209,8.353,8.503,8.543,8.583,8.625,8.798,8.83,8.966,9.081,9.11,9.134,9.155,9.209,9.242,9.313,9.376,9.435,9.508,9.636,9.659,9.821,9.908,9.957,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.087,0.118,0.157,0.341,0.402,0.445,0.531,0.561,0.588,0.675,0.704,0.786,0.828,0.873,0.948,0.971,0.998,1.031,1.094,1.197,1.332,1.416,1.45,1.523,1.567,1.607,1.641,1.704,1.738,1.824,1.932,1.973,2.029,2.121,2.14,2.186,2.213,2.261,2.382,2.465,2.493,2.519,2.564,2.585,2.612,2.732,2.765,2.79,2.835,2.875,3.029,3.056,3.112,3.131,3.166,3.278,3.313,3.378,3.43,3.46,3.609,3.636,3.817,3.972,4.02,4.148,4.176,4.277,4.292,4.359,4.412,4.474,4.541,4.628,4.662,4.7,4.756,4.868,4.955,4.995,5.05,5.098,5.231,5.337,5.467,5.491,5.525,5.568,5.596,5.644,5.697,5.803,5.89,6.016,6.035,6.163,6.206,6.349,6.404,6.463,6.549,6.574,6.609,6.642,6.719,6.807,6.846,6.953,6.989,7.141,7.263,7.303,7.411,7.446,7.544,7.666,7.695,7.74,7.763,7.795,7.813,7.994,8.082,8.102,8.139,8.419,8.449,8.487,8.528,8.595,8.713,8.758,9.071,9.16,9.224,9.273,9.307,9.327,9.412,9.48,9.498,9.523,9.61,9.659,9.74,9.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07,0.142,0.18,0.393,0.441,0.475,0.51,0.558,0.595,0.653,0.786,0.901,0.933,0.989,1.09,1.114,1.134,1.155,1.185,1.298,1.339,1.37,1.444,1.472,1.593,1.636,1.695,1.745,1.976,1.997,2.097,2.187,2.203,2.257,2.316,2.507,2.566,2.621,2.792,2.832,2.874,3.032,3.127,3.31,3.375,3.481,3.502,3.583,3.639,3.684,3.743,3.861,3.942,3.99,4.13,4.429,4.472,4.649,4.683,4.744,4.841,4.893,5.016,5.111,5.17,5.222,5.269,5.345,5.499,5.556,5.649,5.665,5.713,5.824,5.866,5.893,5.909,5.937,5.966,6.117,6.199,6.23,6.261,6.498,6.567,6.728,6.755,6.801,6.822,6.873,6.888,7.006,7.181,7.213,7.251,7.29,7.32,7.331,7.418,7.448,7.48,7.597,7.632,7.79,7.99,8.06,8.115,8.141,8.184,8.21,8.233,8.264,8.286,8.349,8.509,8.53,8.55,8.834,8.871,8.966,9.068,9.099,9.146,9.205,9.405,9.575,9.613,9.769,9.922,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.084,0.122,0.171,0.255,0.286,0.41,0.576,0.628,0.678,0.711,0.779,0.867,0.886,0.943,1.065,1.182,1.219,1.317,1.459,1.544,1.633,1.76,1.801,1.909,2.021,2.046,2.231,2.327,2.387,2.479,2.596,2.655,2.691,2.734,2.85,2.891,2.937,2.997,3.038,3.066,3.12,3.227,3.267,3.311,3.531,3.663,3.709,3.743,3.837,3.894,3.972,4.061,4.197,4.344,4.36,4.375,4.516,4.611,4.747,4.787,4.85,4.934,4.975,5.051,5.156,5.174,5.232,5.341,5.376,5.445,5.557,5.708,5.734,5.77,5.808,5.969,6.076,6.115,6.146,6.224,6.451,6.518,6.574,6.592,6.637,6.685,6.762,6.798,6.876,6.96,7.111,7.226,7.278,7.336,7.402,7.461,7.545,7.593,7.664,7.686,7.762,7.821,7.856,7.915,7.936,7.994,8.079,8.106,8.148,8.233,8.282,8.434,8.46,8.477,8.536,8.561,8.606,8.641,8.766,8.804,8.84,8.863,8.904,8.995,9.077,9.191,9.229,9.349,9.375,9.422,9.542,9.695,9.744,9.906,9.936,9.967,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.085,0.132,0.265,0.312,0.392,0.439,0.559,0.653,0.717,0.741,0.768,0.832,0.849,0.902,0.991,1.039,1.156,1.369,1.426,1.481,1.509,1.6,1.672,1.723,1.767,1.804,1.86,1.968,1.99,2.06,2.095,2.124,2.153,2.177,2.215,2.251,2.277,2.398,2.427,2.47,2.547,2.687,2.723,2.814,2.835,2.89,2.923,2.954,2.993,3.066,3.102,3.199,3.319,3.411,3.498,3.55,3.653,3.815,3.846,4.012,4.113,4.141,4.308,4.344,4.412,4.582,4.684,4.708,4.723,4.771,4.835,4.899,5.032,5.053,5.103,5.151,5.202,5.224,5.315,5.379,5.414,5.522,5.567,5.64,5.69,5.765,5.791,5.858,5.877,5.92,6.004,6.126,6.288,6.451,6.475,6.792,6.847,6.986,7.039,7.217,7.252,7.282,7.329,7.375,7.498,7.544,7.644,7.686,7.713,7.729,7.827,8.058,8.073,8.096,8.13,8.169,8.322,8.349,8.406,8.556,8.725,8.888,8.976,9.165,9.25,9.353,9.375,9.429,9.465,9.494,9.637,9.72,9.749,9.869,9.962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.028,0.255,0.407,0.458,0.609,0.63,0.66,0.794,0.851,0.945,1.001,1.088,1.124,1.237,1.268,1.371,1.4,1.507,1.531,1.557,1.602,1.624,1.693,1.752,1.813,1.849,1.908,1.996,2.052,2.108,2.25,2.307,2.327,2.381,2.413,2.458,2.504,2.522,2.547,2.567,2.641,2.669,2.695,2.741,2.849,2.949,3.047,3.154,3.219,3.241,3.267,3.367,3.403,3.423,3.45,3.494,3.552,3.584,3.722,3.828,3.927,4.034,4.068,4.122,4.221,4.255,4.337,4.4,4.481,4.526,4.561,4.583,4.648,4.689,4.766,4.815,4.863,4.897,4.952,4.982,5.013,5.076,5.15,5.275,5.355,5.465,5.476,5.619,5.652,5.805,5.82,5.877,5.896,5.944,6.041,6.071,6.093,6.315,6.383,6.438,6.473,6.5,6.582,6.62,6.681,6.728,6.878,6.918,6.952,6.995,7.052,7.096,7.135,7.156,7.299,7.328,7.455,7.471,7.611,7.709,7.78,7.906,7.966,8.033,8.094,8.152,8.185,8.315,8.356,8.392,8.416,8.455,8.6,8.641,8.723,8.768,8.789,8.804,8.835,8.858,8.878,8.94,8.979,9.034,9.071,9.235,9.338,9.42,9.435,9.582,9.656,9.69,9.731,9.837,9.876,9.92,9.943,9.959
0.065,0.103,0.122,0.169,0.276,0.328,0.401,0.5,0.572,0.642,0.709,0.736,0.773,0.818,0.871,0.968,1.054,1.243,1.391,1.633,1.675,1.719,1.915,1.955,2.042,2.269,2.357,2.414,2.428,2.503,2.573,2.66,2.706,2.812,2.885,2.948,2.99,3.02,3.034,3.086,3.129,3.231,3.273,3.309,3.329,3.362,3.463,3.552,3.751,3.79,3.819,3.897,3.952,3.995,4.024,4.116,4.14,4.227,4.273,4.315,4.414,4.557,4.581,4.659,4.681,4.845,4.923,5.03,5.172,5.189,5.321,5.342,5.585,5.656,5.711,5.754,5.908,5.937,6.081,6.127,6.146,6.231,6.345,6.433,6.575,6.608,6.658,6.732,6.811,6.862,6.888,6.995,7.056,7.254,7.28,7.305,7.34,7.378,7.409,7.467,7.549,7.566,7.619,7.686,7.706,7.768,7.797,7.866,8.014,8.165,8.206,8.242,8.348,8.467,8.525,8.622,8.672,8.761,8.791,9.1,9.122,9.224,9.279,9.317,9.359,9.493,9.65,9.704,9.75,9.823,9.975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.063,0.178,0.211,0.255,0.325,0.387,0.409,0.443,0.516,0.581,0.638,0.689,0.825,0.92,0.939,0.975,1.122,1.204,1.273,1.43,1.459,1.508,1.549,1.704,1.721,1.744,1.785,1.903,2.066,2.138,2.222,2.39,2.448,2.472,2.58,2.649,2.758,2.824,2.993,3.034,3.175,3.205,3.243,3.256,3.353,3.4,3.446,3.6,3.7,3.888,3.954,3.995,4.059,4.135,4.16,4.294,4.386,4.565,4.585,4.719,4.792,4.844,4.96,4.996,5.016,5.079,5.137,5.184,5.234,5.276,5.415,5.442,5.468,5.489,5.546,5.569,5.647,5.678,5.706,5.759,5.799,5.816,5.897,5.971,6.041,6.067,6.117,6.153,6.348,6.501,6.547,6.57,6.597,6.708,6.829,7.005,7.073,7.108,7.351,7.462,7.483,7.569,7.591,7.656,7.695,7.865,7.967,8.107,8.213,8.348,8.41,8.561,8.648,8.688,8.742,8.763,8.838,8.917,9.016,9.045,9.07,9.093,9.132,9.16,9.206,9.224,9.283,9.337,9.489,9.551,9.591,9.765,9.794,9.853,9.907,9.937,9.997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.075,0.143,0.228,0.281,0.327,0.405,0.431,0.485,0.522,0.563,0.619,0.657,0.693,0.765,0.819,0.891,0.939,0.95,1.04,1.073,1.15,1.265,1.313,1.346,1.378,1.472,1.56,1.77,1.804,1.836,1.863,1.907,1.948,1.99,2.059,2.128,2.348,2.397,2.48,2.518,2.701,2.732,2.823,2.853,2.89,3.082,3.255,3.303,3.329,3.448,3.522,3.555,3.592,3.643,3.778,3.822,3.89,3.924,3.958,3.99,4.213,4.228,4.28,4.313,4.337,4.392,4.432,4.462,4.485,4.576,4.728,4.929,5.084,5.192,5.232,5.318,5.435,5.507,5.692,5.737,5.763,5.814,5.957,6.057,6.117,6.274,6.348,6.435,6.482,6.543,6.594,6.615,6.714,6.836,6.859,6.983,7.037,7.192,7.273,7.351,7.373,7.528,7.589,7.654,7.743,7.791,7.822,7.915,8.054,8.147,8.326,8.455,8.506,8.564,8.615,8.846,8.911,8.945,9.001,9.082,9.112,9.267,9.325,9.338,9.393,9.47,9.501,9.532,9.674,9.803,9.884,9.915,9.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.078,0.26,0.314,0.498,0.552,0.664,0.76,0.883,0.972,1.054,1.292,1.351,1.549,1.623,1.658,1.854,1.934,2.059,2.112,2.214,2.367,2.424,2.502,2.552,2.615,2.706,2.846,2.89,2.919,2.94,2.996,3.069,3.198,3.362,3.466,3.512,3.582,3.66,3.701,3.761,3.874,3.913,4.069,4.113,4.199,4.254,4.354,4.452,4.551,4.569,4.631,4.668,4.808,4.887,4.961,5.052,5.072,5.239,5.261,5.317,5.376,5.411,5.481,5.538,5.654,5.72,5.786,5.82,5.847,6.088,6.161,6.226,6.262,6.311,6.402,6.467,6.508,6.527,6.572,6.614,6.667,6.7,6.798,6.836,6.87,6.914,6.932,6.972,7.086,7.171,7.209,7.335,7.364,7.387,7.45,7.522,7.634,7.72,7.888,7.916,7.949,8.019,8.119,8.231,8.274,8.335,8.366,8.389,8.492,8.678,8.75,8.795,8.832,8.907,9.041,9.116,9.173,9.219,9.264,9.436,9.486,9.545,9.593,9.616,9.692,9.876,9.93,9.96,9.976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056,0.111,0.14,0.302,0.329,0.349,0.448,0.548,0.6,0.69,0.746,0.848,0.899,0.951,0.97,0.999,1.082,1.156,1.226,1.26,1.319,1.339,1.385,1.408,1.466,1.592,1.657,1.825,1.986,2.082,2.124,2.173,2.233,2.254,2.305,2.326,2.388,2.577,2.619,2.653,2.691,2.752,2.793,2.899,2.974,3.032,3.096,3.212,3.25,3.292,3.588,3.65,3.683,3.778,3.835,3.88,3.906,3.952,4.031,4.136,4.318,4.449,4.474,4.524,4.55,4.604,4.637,4.683,4.969,5.045,5.1,5.181,5.249,5.271,5.319,5.451,5.49,5.61,5.667,5.688,5.778,5.84,5.891,6.073,6.122,6.185,6.223,6.34,6.59,6.662,6.713,6.884,6.946,6.99,7.009,7.052,7.141,7.191,7.214,7.274,7.637,7.714,7.77,7.877,8.045,8.081,8.171,8.295,8.331,8.574,8.728,8.79,8.833,8.87,8.952,9.026,9.062,9.152,9.199,9.241,9.295,9.322,9.347,9.424,9.478,9.501,9.577,9.741,9.775,9.856,9.989,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
